2026-03-27 21:31:06 | ERROR    | src.support_app.conversation.support_agent:_understand_intent:335 | RequestID=N/A | Intent classification error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-your-*******lder. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401} | taskName=anyio.from_thread.BlockingPortal._call_func
2026-03-27 21:31:06 | ERROR    | src.support_app.conversation.support_agent:_generate_response:565 | RequestID=N/A | Response generation error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-your-*******lder. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401} | taskName=anyio.from_thread.BlockingPortal._call_func
2026-03-27 21:31:06 | INFO     | src.support_app.conversation.support_agent:chat:714 | RequestID=N/A | Response generated for user user-1: intent=other, sentiment=neutral, escalated=False | taskName=anyio.from_thread.BlockingPortal._call_func
2026-03-27 21:31:06 | INFO     | src.support_app.conversation.support_agent:chat:627 | RequestID=N/A | Processing message from user user-1: hello from websocket... | taskName=anyio.from_thread.BlockingPortal._call_func
2026-03-27 21:31:06 | ERROR    | src.support_app.conversation.support_agent:_understand_intent:335 | RequestID=N/A | Intent classification error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-your-*******lder. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401} | taskName=anyio.from_thread.BlockingPortal._call_func
2026-03-27 21:31:07 | ERROR    | src.support_app.conversation.support_agent:_generate_response:565 | RequestID=N/A | Response generation error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-your-*******lder. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401} | taskName=anyio.from_thread.BlockingPortal._call_func
2026-03-27 21:31:07 | INFO     | src.support_app.conversation.support_agent:chat:714 | RequestID=N/A | Response generated for user user-1: intent=other, sentiment=neutral, escalated=False | taskName=anyio.from_thread.BlockingPortal._call_func
2026-03-27 21:31:07 | INFO     | src.support_app.conversation.support_agent:chat:627 | RequestID=N/A | Processing message from user user-1: please create ticket... | taskName=anyio.from_thread.BlockingPortal._call_func
2026-03-27 21:31:07 | ERROR    | src.support_app.conversation.support_agent:_understand_intent:335 | RequestID=N/A | Intent classification error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-your-*******lder. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401} | taskName=anyio.from_thread.BlockingPortal._call_func
2026-03-27 21:31:07 | ERROR    | src.support_app.conversation.support_agent:_generate_response:565 | RequestID=N/A | Response generation error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-your-*******lder. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401} | taskName=anyio.from_thread.BlockingPortal._call_func
2026-03-27 21:31:07 | INFO     | src.support_app.conversation.support_agent:chat:714 | RequestID=N/A | Response generated for user user-1: intent=other, sentiment=neutral, escalated=False | taskName=anyio.from_thread.BlockingPortal._call_func
2026-03-27 21:31:08 | INFO     | src.fraud_triage.agents.fraud_triage_agent:create_fraud_triage_graph:862 | RequestID=N/A | 🔨 Building fraud triage graph | taskName=anyio.from_thread.BlockingPortal._call_func
2026-03-27 21:31:08 | INFO     | src.fraud_triage.agents.fraud_triage_agent:create_fraud_triage_graph:875 | RequestID=N/A | ✅ Added 6 nodes: parse_alert, gather_context, analyze_risk, escalate, recommend, auto_close | taskName=anyio.from_thread.BlockingPortal._call_func
2026-03-27 21:31:08 | INFO     | src.fraud_triage.agents.fraud_triage_agent:create_fraud_triage_graph:904 | RequestID=N/A | ✅ Fraud triage graph compiled with MemorySaver checkpointer | taskName=anyio.from_thread.BlockingPortal._call_func
2026-03-27 21:31:08 | INFO     | src.fraud_triage.agents.fraud_triage_agent:__init__:933 | RequestID=N/A | 🚀 FraudTriageAgent initialized (environment: development) | taskName=anyio.from_thread.BlockingPortal._call_func
2026-03-27 21:31:24 | INFO     | src.guardrails.jailbreak.jailbreak_detector:add_whitelist_entry:234 | RequestID=N/A | Added whitelist entry: Educational queries about jailbreak concepts | taskName=anyio.from_thread.BlockingPortal._call_func
2026-03-27 21:31:24 | INFO     | src.guardrails.jailbreak.jailbreak_detector:add_whitelist_entry:234 | RequestID=N/A | Added whitelist entry: Test case generation for security testing | taskName=anyio.from_thread.BlockingPortal._call_func
2026-03-27 21:31:24 | INFO     | src.guardrails.jailbreak.jailbreak_detector:add_whitelist_entry:234 | RequestID=N/A | Added whitelist entry: Defensive security queries | taskName=anyio.from_thread.BlockingPortal._call_func
2026-03-27 21:31:24 | INFO     | src.guardrails.jailbreak.jailbreak_detector:add_whitelist_entry:234 | RequestID=N/A | Added whitelist entry: Academic research queries | taskName=anyio.from_thread.BlockingPortal._call_func
